input_channel,switch_mzi,port,upload_voltage,mode,local_sample_row,sample_index,label
1,1,43,4.217,voltage-table,12,12,5
2,2,45,4.049,voltage-table,12,12,5
3,3,41,4.084,voltage-table,12,12,5
4,4,48,4.072,voltage-table,12,12,5
5,5,44,3.977,voltage-table,12,12,5
6,6,46,3.987,voltage-table,12,12,5
7,7,42,3.619,voltage-table,12,12,5
8,8,49,4.294,voltage-table,12,12,5
1,1,43,4.234,voltage-table,13,13,7
2,2,45,4.14,voltage-table,13,13,7
3,3,41,4.133,voltage-table,13,13,7
4,4,48,4.042,voltage-table,13,13,7
5,5,44,3.837,voltage-table,13,13,7
6,6,46,4.179,voltage-table,13,13,7
7,7,42,3.785,voltage-table,13,13,7
8,8,49,3.897,voltage-table,13,13,7
1,1,43,4.215,voltage-table,14,14,3
2,2,45,4.029,voltage-table,14,14,3
3,3,41,4.164,voltage-table,14,14,3
4,4,48,3.796,voltage-table,14,14,3
5,5,44,3.835,voltage-table,14,14,3
6,6,46,3.893,voltage-table,14,14,3
7,7,42,3.91,voltage-table,14,14,3
8,8,49,4.244,voltage-table,14,14,3
1,1,43,4.195,voltage-table,15,15,4
2,2,45,4.089,voltage-table,15,15,4
3,3,41,3.747,voltage-table,15,15,4
4,4,48,4.23,voltage-table,15,15,4
5,5,44,3.636,voltage-table,15,15,4
6,6,46,4.051,voltage-table,15,15,4
7,7,42,3.995,voltage-table,15,15,4
8,8,49,4.16,voltage-table,15,15,4
1,1,43,4.201,voltage-table,16,16,6
2,2,45,4.097,voltage-table,16,16,6
3,3,41,4.146,voltage-table,16,16,6
4,4,48,3.931,voltage-table,16,16,6
5,5,44,3.637,voltage-table,16,16,6
6,6,46,4.329,voltage-table,16,16,6
7,7,42,3.654,voltage-table,16,16,6
8,8,49,4.294,voltage-table,16,16,6
1,1,43,4.195,voltage-table,17,17,6
2,2,45,4.101,voltage-table,17,17,6
3,3,41,4.141,voltage-table,17,17,6
4,4,48,3.926,voltage-table,17,17,6
5,5,44,3.637,voltage-table,17,17,6
6,6,46,4.329,voltage-table,17,17,6
7,7,42,3.668,voltage-table,17,17,6
8,8,49,4.294,voltage-table,17,17,6
1,1,43,4.219,voltage-table,18,18,5
2,2,45,4.071,voltage-table,18,18,5
3,3,41,4.074,voltage-table,18,18,5
4,4,48,4.069,voltage-table,18,18,5
5,5,44,3.977,voltage-table,18,18,5
6,6,46,3.986,voltage-table,18,18,5
7,7,42,3.621,voltage-table,18,18,5
8,8,49,4.294,voltage-table,18,18,5
1,1,43,4.125,voltage-table,19,19,4
2,2,45,4.058,voltage-table,19,19,4
3,3,41,3.628,voltage-table,19,19,4
4,4,48,4.23,voltage-table,19,19,4
5,5,44,3.514,voltage-table,19,19,4
6,6,46,3.941,voltage-table,19,19,4
7,7,42,3.995,voltage-table,19,19,4
8,8,49,4.087,voltage-table,19,19,4
