mzi,port,voltage,expected_mA,actual_mA,lower_mA,upper_mA,local_sample_row,sample_index,label,iteration
3,41,3.937,7.652419152717958,6.531586964448143,6.887177237446163,8.417661067989755,7,7,5,0
1,43,4.136,8.120513177471727,,7.308461859724554,8.9325644952189,22,22,4,1
2,45,4.131,8.110696309510567,,7.299626678559511,8.921765940461624,22,22,4,1
3,41,3.755,7.298662412612632,,6.568796171351369,8.028528653873895,22,22,4,1
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,22,22,4,1
5,44,3.646,7.048604368997219,,6.343743932097497,7.75346480589694,22,22,4,1
6,46,4.063,7.910733921839287,,7.119660529655358,8.701807314023217,22,22,4,1
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,22,22,4,1
8,49,4.175,8.112395254447176,,7.301155729002458,8.923634779891893,22,22,4,1
3,41,4.164,8.093643218673503,6.724703291635531,7.2842788968061525,8.903007540540854,23,23,0,0
1,43,4.318,8.477847171257958,7.415339648187039,7.630062454132162,9.325631888383754,24,24,1,0
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,26,26,1,4
2,45,3.885,7.627706405821484,,6.864935765239336,8.390477046403632,26,26,1,4
3,41,3.982,7.739886478568177,,6.965897830711359,8.513875126424995,26,26,1,4
4,48,3.809,7.478423497524581,,6.7305811477721225,8.22626584727704,26,26,1,4
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,26,26,1,4
6,46,4.179,8.136588003782029,,7.322929203403826,8.950246804160232,26,26,1,4
7,42,3.839,7.52486083669267,,6.772374753023403,8.277346920361937,26,26,1,4
8,49,4.138,8.040500973150278,,7.23645087583525,8.844551070465306,26,26,1,4
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,32,32,1,2
2,45,3.871,7.600219175530236,,6.840197257977212,8.360241093083259,32,32,1,2
3,41,3.856,7.494977966187567,,6.74548016956881,8.244475762806324,32,32,1,2
4,48,3.853,7.564811167225574,,6.808330050503017,8.32129228394813,32,32,1,2
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,32,32,1,2
6,46,4.19,8.158005201207635,,7.342204681086871,8.973805721328398,32,32,1,2
7,42,3.856,7.558182700257081,,6.802364430231373,8.31400097028279,32,32,1,2
8,49,4.162,8.087135101559076,,7.278421591403168,8.895848611714984,32,32,1,2
6,46,4.218,8.212521703745535,7.20258437247212,7.3912695333709815,9.033773874120088,38,38,2,0
4,48,4.23,8.304996428072716,7.35642280260445,7.474496785265444,9.135496070879988,59,59,4,0
1,43,4.153,8.153890528539671,,7.338501475685704,8.96927958139364,59,59,4,13
2,45,4.076,8.002710761937804,,7.202439685744023,8.802981838131585,59,59,4,13
3,41,3.692,7.176208156422328,,6.458587340780095,7.893828972064561,59,59,4,13
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,59,59,4,13
5,44,3.579,6.919077080812136,,6.2271693727309225,7.61098478889335,59,59,4,13
6,46,3.993,7.774442665494529,,6.996998398945077,8.551886932043983,59,59,4,13
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,59,59,4,13
8,49,4.118,8.00163919947628,,7.201475279528652,8.801803119423909,59,59,4,13
6,46,4.2,8.177475380685458,7.359695960692378,7.359727842616912,8.995222918754003,68,68,2,0
8,49,4.294,8.343622807807465,7.235315953351343,7.5092605270267185,9.177985088588212,71,71,6,0
1,43,4.22,8.285436559219217,,7.4568929032972955,9.113980215141138,79,79,3,5
2,45,4.075,8.000747388345571,,7.200672649511014,8.800822127180128,79,79,3,5
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,79,79,3,5
4,48,3.804,7.4686067168767405,,6.721746045189066,8.215467388564415,79,79,3,5
5,44,3.722,7.195530845147463,,6.475977760632716,7.9150839296622095,79,79,3,5
6,46,3.981,7.751078450121143,,6.975970605109028,8.526186295133257,79,79,3,5
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,79,79,3,5
8,49,4.135,8.034671707099179,,7.231204536389261,8.838138877809097,79,79,3,5
1,43,4.222,8.289363306403683,,7.460426975763315,9.118299637044052,95,95,3,12
2,45,4.081,8.012527629898965,,7.2112748669090685,8.813780392888862,95,95,3,12
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,95,95,3,12
4,48,3.796,7.4528998678401965,,6.707609881056177,8.198189854624216,95,95,3,12
5,44,3.72,7.191664358932982,,6.472497923039684,7.91083079482628,95,95,3,12
6,46,3.971,7.731608270643321,,6.958447443578988,8.504769097707653,95,95,3,12
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,95,95,3,12
8,49,4.131,8.02689935236438,,7.224209417127941,8.829589287600818,95,95,3,12
1,43,4.148,8.14407366057851,,7.329666294520659,8.958481026636361,98,98,4,7
2,45,4.095,8.040014860190212,,7.236013374171191,8.844016346209234,98,98,4,7
3,41,3.694,7.180095593126782,,6.462086033814104,7.89810515243946,98,98,4,7
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,98,98,4,7
5,44,3.583,6.9268100532410966,,6.234129047916987,7.619491058565206,98,98,4,7
6,46,3.996,7.780283719337876,,7.0022553474040885,8.558312091271663,98,98,4,7
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,98,98,4,7
8,49,4.114,7.993866844741478,,7.1944801602673305,8.793253529215626,98,98,4,7
1,43,4.099,8.047868354559142,,7.243081519103228,8.852655190015057,98,98,4,17
2,45,4.049,7.9496996749475395,,7.154729707452786,8.744669642442293,98,98,4,17
3,41,3.537,6.874931811827133,,6.18743863064442,7.562424993009846,98,98,4,17
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,98,98,4,17
5,44,3.44,6.650356288905769,,5.9853206600151925,7.315391917796346,98,98,4,17
6,46,3.884,7.562217709186264,,6.805995938267637,8.31843948010489,98,98,4,17
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,98,98,4,17
8,49,4.056,7.881167701086884,,7.093050930978196,8.669284471195573,98,98,4,17
3,41,4.164,8.093643218673503,-0.13583606064876327,7.2842788968061525,8.903007540540854,114,114,0,1
4,48,4.177,8.200938553205612,-0.13256290256083544,7.380844697885051,9.021032408526173,114,114,0,1
7,42,3.869,7.58366412533575,-0.1292897444729076,6.8252977128021755,8.342030537869325,114,114,0,1
8,49,4.175,8.112395254447176,-0.12274342829707055,7.301155729002458,8.923634779891893,114,114,0,1
1,43,4.236,8.31685053669493,,7.485165483025438,9.148535590364425,119,119,7,2
2,45,4.131,8.110696309510567,,7.299626678559511,8.921765940461624,119,119,7,2
3,41,4.135,8.037275386458917,,7.233547847813026,8.84100292510481,119,119,7,2
4,48,4.032,7.916251914418249,,7.124626722976424,8.707877105860074,119,119,7,2
5,44,3.843,7.429453261123509,,6.686507935011158,8.17239858723586,119,119,7,2
6,46,4.18,8.138535021729812,,7.3246815195568304,8.952388523902792,119,119,7,2
7,42,3.783,7.415094697892256,,6.67358522810303,8.15660416768148,119,119,7,2
8,49,3.899,7.576102777745996,,6.818492499971397,8.333713055520596,119,119,7,2
1,43,4.161,8.169597517277527,,7.352637765549774,8.98655726900528,138,138,4,6
2,45,4.082,8.014491003491196,,7.213041903142076,8.815940103840315,138,138,4,6
3,41,3.705,7.2014764950012795,,6.481328845501151,7.921624144501408,138,138,4,6
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,138,138,4,6
5,44,3.592,6.944209241206256,,6.24978831708563,7.638630165326881,138,138,4,6
6,46,4.009,7.805594952659046,,7.025035457393141,8.586154447924951,138,138,4,6
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,138,138,4,6
8,49,4.122,8.009411554211079,,7.208470398789971,8.810352709632188,138,138,4,6
6,46,4.329,8.428640695949365,7.179672265856663,7.585776626354429,9.271504765544302,139,139,6,0
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,152,152,1,0
2,45,3.846,7.551134835724435,,6.796021352151991,8.306248319296879,152,152,1,0
3,41,3.789,7.364748836588353,,6.628273952929518,8.101223720247187,152,152,1,0
4,48,3.908,7.672795754351814,,6.905516178916632,8.440075329786994,152,152,1,0
5,44,3.976,7.6865745943864345,,6.917917134947791,8.455232053825078,152,152,1,0
6,46,4.211,8.198892578111062,,7.379003320299955,9.018781835922168,152,152,1,0
7,42,3.883,7.611105660035853,,6.849995094032268,8.372216226039438,152,152,1,0
8,49,4.189,8.139598496018973,,7.325638646417076,8.95355834562087,152,152,1,0
1,43,3.963,7.780849546015584,,7.002764591414025,8.558934500617141,162,162,0,2
2,45,3.849,7.557024956501131,,6.801322460851018,8.312727452151243,162,162,0,2
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,162,162,0,2
4,48,4.182,8.210755333853452,,7.389679800468107,9.031830867238797,162,162,0,2
5,44,3.806,7.357923266155627,,6.622130939540064,8.09371559277119,162,162,0,2
6,46,4.182,8.142429057625376,,7.328186151862838,8.956671963387913,162,162,0,2
7,42,3.857,7.560142809878518,,6.804128528890666,8.31615709086637,162,162,0,2
8,49,4.155,8.073533480773177,,7.266180132695859,8.880886828850494,162,162,0,2
6,46,4.213,8.202786614006625,7.37606175113198,7.3825079526059625,9.023065275407287,165,165,1,0
1,43,4.143,8.134256792617352,,7.3208311133556165,8.947682471879087,167,167,4,9
2,45,4.086,8.022344497860125,,7.220110048074113,8.824578947646138,167,167,4,9
3,41,3.67,7.1334463526733325,,6.420101717405999,7.846790987940666,167,167,4,9
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,167,167,4,9
5,44,3.561,6.884278704881815,,6.195850834393633,7.572706575369997,167,167,4,9
6,46,3.978,7.745237396277797,,6.970713656650017,8.519761135905576,167,167,4,9
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,167,167,4,9
8,49,4.092,7.951118893700081,,7.156007004330073,8.74623078307009,167,167,4,9
1,43,3.974,7.802446655530137,,7.022201989977123,8.58269132108315,168,168,2,0
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,168,168,2,0
3,41,3.791,7.3686362732928075,,6.631772645963527,8.105499900622089,168,168,2,0
4,48,3.894,7.645308768537863,,6.880777891684076,8.40983964539165,168,168,2,0
5,44,3.973,7.6807748650647145,,6.912697378558243,8.448852351571187,168,168,2,0
6,46,4.199,8.175528362737673,,7.357975526463905,8.99308119901144,168,168,2,0
7,42,3.875,7.595424783064365,,6.835882304757928,8.3549672613708,168,168,2,0
8,49,4.164,8.091021278926476,,7.281919151033828,8.900123406819123,168,168,2,0
1,43,3.983,7.820117017860225,,7.038105316074202,8.602128719646247,176,176,2,2
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,176,176,2,2
3,41,3.889,7.559120671811059,,6.803208604629953,8.315032738992166,176,176,2,2
4,48,3.812,7.4843135659132844,,6.7358822093219555,8.232744922504613,176,176,2,2
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,176,176,2,2
6,46,4.182,8.142429057625376,,7.328186151862838,8.956671963387913,176,176,2,2
7,42,3.858,7.562102919499954,,6.805892627549959,8.318313211449949,176,176,2,2
8,49,4.157,8.077419658140576,,7.269677692326518,8.885161623954634,176,176,2,2
1,43,4.227,8.299180174364844,,7.46926215692836,9.12909819180133,179,179,3,11
2,45,4.078,8.00663750912227,,7.2059737582100425,8.807301260034496,179,179,3,11
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,179,179,3,11
4,48,3.792,7.445046443321924,,6.700541798989732,8.189551087654117,179,179,3,11
5,44,3.712,7.1761984140750625,,6.458578572667556,7.893818255482569,179,179,3,11
6,46,3.973,7.735502306538884,,6.961952075884996,8.509052537192773,179,179,3,11
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,179,179,3,11
8,49,4.106,7.97832213527188,,7.180489921744693,8.776154348799068,179,179,3,11
1,43,4.221,8.28739993281145,,7.458659939530305,9.116139926092595,181,181,3,5
2,45,4.082,8.014491003491196,,7.213041903142076,8.815940103840315,181,181,3,5
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,181,181,3,5
4,48,3.802,7.4646800046176045,,6.718212004155844,8.211148005079366,181,181,3,5
5,44,3.721,7.193597602040223,,6.4742378418362,7.912957362244245,181,181,3,5
6,46,3.984,7.75691950396449,,6.981227553568041,8.53261145436094,181,181,3,5
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,181,181,3,5
8,49,4.13,8.024956263680679,,7.222460637312611,8.827451890048746,181,181,3,5
4,48,4.043,7.937848831843498,7.065111732779411,7.144063948659148,8.731633715027847,188,188,7,0
1,43,4.214,8.273656317665827,,7.446290685899244,9.10102194943241,195,195,3,7
2,45,4.08,8.010564256306733,,7.20950783067606,8.811620681937406,195,195,3,7
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,195,195,3,7
4,48,3.786,7.433266306544517,,6.689939675890065,8.176592937198969,195,195,3,7
5,44,3.719,7.189731115825743,,6.4707580042431685,7.908704227408317,195,195,3,7
6,46,3.965,7.719926162956627,,6.947933546660964,8.49191877925229,195,195,3,7
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,195,195,3,7
8,49,4.124,8.01329773157848,,7.211967958420631,8.814627504736327,195,195,3,7
1,43,4.147,8.142110286986279,,7.327899258287651,8.956321315684907,199,199,4,10
2,45,4.077,8.004674135530037,,7.204206721977033,8.80514154908304,199,199,4,10
3,41,3.683,7.158714691252284,,6.442843222127055,7.874586160377512,199,199,4,10
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,199,199,4,10
5,44,3.573,6.907477622168695,,6.216729859951826,7.5982253843855645,199,199,4,10
6,46,3.987,7.7627605578078365,,6.986484502027053,8.539036613588621,199,199,4,10
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,199,199,4,10
8,49,4.106,7.97832213527188,,7.180489921744693,8.776154348799068,199,199,4,10
