sample_index,label,theory_vector,actual_vector_lstsq,actual_vector_diag,lstsq_error_vector,lstsq_mae,lstsq_max_abs_error,actual_lstsq_sum,theory_sum,output_power_mae_vs_csv_expected,output_power_max_abs_error_vs_csv_expected
10,0,"[0.3932, 0.3453, 0.0001, 0.0069, 0.0750, 0.0631, 0.0589, 0.0576]","[0.4590, 0.3766, -0.0022, 0.0156, 0.0763, 0.0369, 0.0322, 0.0202]","[0.4603, 0.3791, 0.0099, 0.0188, 0.0768, 0.0392, 0.0339, 0.0229]","[+0.0658, +0.0313, -0.0023, +0.0086, +0.0013, -0.0262, -0.0267, -0.0374]",0.024967205326639992,0.06583679150513666,1.0145184597216539,0.999999917418215,6.135057817884996e-06,1.970207888959537e-05
11,1,"[0.0000, 0.3435, 0.2601, 0.2190, 0.0001, 0.0575, 0.0692, 0.0506]","[-0.0013, 0.4740, 0.5890, -0.0633, 0.0014, 0.0374, 0.0425, 0.0141]","[0.0006, 0.4788, 0.5735, 0.1424, 0.0051, 0.0395, 0.0444, 0.0171]","[-0.0014, +0.1305, +0.3289, -0.2823, +0.0012, -0.0200, -0.0267, -0.0365]",0.10345236105116237,0.3289108276811347,1.0937207638603874,0.9999999931602296,1.5599050522869282e-05,4.1918119075128176e-05
12,5,"[0.0648, 0.0774, 0.0488, 0.0304, 0.0000, 0.3972, 0.3813, 0.0000]","[0.1412, 0.1460, 0.1338, -0.0232, -0.0012, 0.3901, 0.2731, 0.0028]","[0.1422, 0.1492, 0.1312, 0.0244, 0.0022, 0.3921, 0.2768, 0.0068]","[+0.0764, +0.0686, +0.0851, -0.0536, -0.0012, -0.0071, -0.1083, +0.0027]",0.050358909276329744,0.10825043309770194,1.0627032144601487,1.00000000102987,1.0572849155929076e-05,2.48231251006086e-05
13,7,"[0.0483, 0.0490, 0.0491, 0.0603, 0.0749, 0.0794, 0.1619, 0.4770]","[0.1198, 0.1189, 0.1701, -0.0123, 0.0663, 0.0502, 0.1322, 0.3731]","[0.1206, 0.1222, 0.1704, 0.0499, 0.0678, 0.0532, 0.1340, 0.3753]","[+0.0714, +0.0699, +0.1210, -0.0726, -0.0086, -0.0292, -0.0297, -0.1039]",0.06327308945072732,0.12097563287901408,1.018288886567738,1.0000000298018001,1.2269004048218013e-05,2.1417530522414697e-05
14,3,"[0.0433, 0.1105, 0.0001, 0.3109, 0.0934, 0.4093, 0.0140, 0.0185]","[0.1172, 0.1092, -0.0405, 0.3299, 0.1121, 0.0520, 0.1165, -0.0017]","[0.1178, 0.1101, 0.0760, 0.3202, 0.1171, 0.0545, 0.1178, 0.0012]","[+0.0738, -0.0013, -0.0406, +0.0190, +0.0187, -0.3573, +0.1025, -0.0202]",0.07917256695362825,0.3573069157746774,0.7947337040818843,0.9999998873749757,1.7974217620249885e-05,8.320942439124934e-05
15,4,"[0.0850, 0.0598, 0.2940, 0.0000, 0.2912, 0.2106, 0.0000, 0.0594]","[0.1651, 0.1408, 0.2591, 0.1093, 0.2430, 0.1496, 0.0010, 0.0261]","[0.1661, 0.1446, 0.3009, 0.2085, 0.2475, 0.1519, 0.0038, 0.0288]","[+0.0801, +0.0810, -0.0348, +0.1093, -0.0482, -0.0610, +0.0009, -0.0333]",0.056089510073066506,0.1092833548106398,1.0939793290912199,1.0000000479953361,1.1859077338806616e-05,2.4007700737432248e-05
16,6,"[0.0619, 0.0575, 0.0687, 0.1616, 0.3231, 0.0000, 0.3271, 0.0000]","[0.1320, 0.1320, 0.2995, 0.0116, 0.2804, -0.0019, 0.2666, 0.0026]","[0.1333, 0.1359, 0.3083, 0.1259, 0.2830, 0.0013, 0.2682, 0.0065]","[+0.0701, +0.0745, +0.2309, -0.1501, -0.0427, -0.0019, -0.0605, +0.0026]",0.07916408583414337,0.2308925587961979,1.1229746052614864,0.9999998851179639,1.3936436878458238e-05,3.235262553396254e-05
17,6,"[0.0581, 0.0576, 0.0782, 0.1660, 0.3217, 0.0000, 0.3184, 0.0000]","[0.1291, 0.1324, 0.3188, 0.0073, 0.2771, -0.0018, 0.2595, 0.0026]","[0.1303, 0.1363, 0.3261, 0.1282, 0.2797, 0.0014, 0.2611, 0.0064]","[+0.0710, +0.0748, +0.2407, -0.1588, -0.0446, -0.0018, -0.0589, +0.0026]",0.0816493382696967,0.24069052887461048,1.1249389661937728,0.9999999911890849,1.426762163825576e-05,3.357757014267665e-05
18,5,"[0.0663, 0.0715, 0.0560, 0.0316, 0.0000, 0.3971, 0.3775, 0.0000]","[0.1427, 0.1411, 0.1608, -0.0271, -0.0014, 0.3904, 0.2697, 0.0027]","[0.1437, 0.1445, 0.1567, 0.0298, 0.0021, 0.3923, 0.2735, 0.0068]","[+0.0765, +0.0696, +0.1048, -0.0587, -0.0015, -0.0067, -0.1078, +0.0027]",0.05352119130534341,0.1077711814257809,1.0788537449170856,1.0000000308374946,1.0959316161009207e-05,2.4704831814946596e-05
19,4,"[0.0857, 0.0612, 0.2875, 0.0000, 0.2969, 0.2118, 0.0000, 0.0569]","[0.1666, 0.1409, 0.2536, 0.1082, 0.2483, 0.1514, 0.0010, 0.0246]","[0.1676, 0.1445, 0.2950, 0.2056, 0.2528, 0.1538, 0.0039, 0.0273]","[+0.0809, +0.0796, -0.0339, +0.1082, -0.0486, -0.0603, +0.0010, -0.0324]",0.05561624759686844,0.1081824401096333,1.0945138231849352,1.0000000038804806,1.1811977493924048e-05,2.4247765541404865e-05
