input_channel,switch_mzi,port,feature_coefficient,upload_voltage,mode,local_sample_row,sample_index
2,2,45,0.110495686531,4.122,voltage-linear,14,14
3,3,41,8.44328387757e-05,4.164,voltage-linear,14,14
4,4,48,0.310876846313,3.839,voltage-linear,14,14
5,5,44,0.0934095084667,3.849,voltage-linear,14,14
6,6,46,0.409316956997,3.819,voltage-linear,14,14
7,7,42,0.0140131954104,3.976,voltage-linear,14,14
8,8,49,0.0184773933142,4.271,voltage-linear,14,14
1,1,43,0.0849536210299,4.215,voltage-linear,15,15
2,2,45,0.0598461031914,4.186,voltage-linear,15,15
3,3,41,0.293971598148,3.78,voltage-linear,15,15
4,4,48,1.92224797502e-05,4.23,voltage-linear,15,15
5,5,44,0.291237950325,3.577,voltage-linear,15,15
6,6,46,0.210555270314,4.066,voltage-linear,15,15
7,7,42,1.95387328858e-05,3.995,voltage-linear,15,15
8,8,49,0.0593967437744,4.221,voltage-linear,15,15
1,1,43,0.0619159638882,4.243,voltage-linear,16,16
2,2,45,0.0574747808278,4.189,voltage-linear,16,16
3,3,41,0.0686546117067,4.074,voltage-linear,16,16
4,4,48,0.161648601294,4.027,voltage-linear,16,16
5,5,44,0.323110580444,3.533,voltage-linear,16,16
6,6,46,2.5992278097e-05,4.329,voltage-linear,16,16
7,7,42,0.327143192291,3.552,voltage-linear,16,16
8,8,49,2.6162388167e-05,4.294,voltage-linear,16,16
1,1,43,0.0580833777785,4.248,voltage-linear,17,17
2,2,45,0.0575895085931,4.189,voltage-linear,17,17
3,3,41,0.0781591758132,4.062,voltage-linear,17,17
4,4,48,0.166034922004,4.021,voltage-linear,17,17
5,5,44,0.321681588888,3.535,voltage-linear,17,17
6,6,46,2.3426464395e-05,4.329,voltage-linear,17,17
7,7,42,0.318404376507,3.564,voltage-linear,17,17
8,8,49,2.36151408899e-05,4.294,voltage-linear,17,17
1,1,43,0.0662530958652,4.238,voltage-linear,18,18
2,2,45,0.0714880302548,4.171,voltage-linear,18,18
3,3,41,0.0560216903687,4.091,voltage-linear,18,18
4,4,48,0.0315665118396,4.19,voltage-linear,18,18
5,5,44,2.75286802207e-05,3.977,voltage-linear,18,18
6,6,46,0.397120118141,3.834,voltage-linear,18,18
7,7,42,0.37749516964,3.484,voltage-linear,18,18
8,8,49,2.78860479739e-05,4.294,voltage-linear,18,18
1,1,43,0.085683055222,4.214,voltage-linear,19,19
2,2,45,0.0612316019833,4.184,voltage-linear,19,19
3,3,41,0.287487059832,3.789,voltage-linear,19,19
4,4,48,2.22896178457e-05,4.23,voltage-linear,19,19
5,5,44,0.29685741663,3.569,voltage-linear,19,19
6,6,46,0.211757466197,4.065,voltage-linear,19,19
7,7,42,2.3725322535e-05,3.995,voltage-linear,19,19
8,8,49,0.0569373890758,4.224,voltage-linear,19,19
