mzi,port,voltage,expected_mA,actual_mA,lower_mA,upper_mA,local_sample_row,sample_index,label,active_input_channel
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,57,157,5,4
6,46,4.329,8.428640695949365,7.385881225395744,7.585776626354429,9.271504765544302,57,157,5,7
1,43,3.973,7.800483281937904,,7.020434953744114,8.580531610131695,58,158,0,1
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,58,158,0,1
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,58,158,0,1
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,58,158,0,1
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,58,158,0,1
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,58,158,0,1
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,58,158,0,1
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,58,158,0,1
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,58,158,0,6
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,58,158,0,6
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,58,158,0,6
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,58,158,0,6
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,58,158,0,6
6,46,4.18,8.138535021729812,,7.3246815195568304,8.952388523902792,58,158,0,6
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,58,158,0,6
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,58,158,0,6
4,48,4.23,8.304996428072716,7.124028578362003,7.474496785265444,9.135496070879988,59,159,1,5
5,44,3.977,7.688507837493675,6.407206957107108,6.919657053744308,8.457358621243042,67,167,4,6
1,43,4.02,7.892761840772809,6.299192740205676,7.103485656695528,8.68203802485009,68,168,2,1
2,45,4.261,8.36593487650073,5.736209549083111,7.529341388850658,9.202528364150805,68,168,2,1
3,41,4.164,8.093643218673503,6.908000144559155,7.2842788968061525,8.903007540540854,68,168,2,1
4,48,4.23,8.304996428072716,7.20258437247212,7.474496785265444,9.135496070879988,68,168,2,1
5,44,3.977,7.688507837493675,6.207544313743864,6.919657053744308,8.457358621243042,68,168,2,1
6,46,4.329,8.428640695949365,9.287586074478357,7.585776626354429,9.271504765544302,68,168,2,1
7,42,3.995,7.8306379376366815,5.9358721924463556,7.047574143873013,8.613701731400349,68,168,2,1
8,49,4.294,8.343622807807465,7.104389629834472,7.5092605270267185,9.177985088588212,68,168,2,1
