local_sample_row,sample_index,label,source_voltage_file,source_voltage_row,input_voltage_0,input_voltage_1,input_voltage_2,input_voltage_3,input_voltage_4,input_voltage_5,input_voltage_6,input_voltage_7
12,212,7,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,12,4.235,4.134,4.13,4.028,3.838,4.179,3.785,3.902
13,213,7,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,13,4.231,4.114,4.135,4.022,3.857,4.178,3.781,3.903
14,214,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,14,3.998,4.261,4.066,3.764,3.977,4.182,3.845,4.13
15,215,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,15,4.004,4.261,4.049,3.773,3.977,4.174,3.832,4.143
16,216,6,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,16,4.14,4.091,4.164,3.983,3.616,4.329,3.65,4.294
17,217,5,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,17,4.193,4.129,4.08,4.077,3.977,3.977,3.626,4.294
18,218,7,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,18,4.236,4.132,4.137,4.031,3.836,4.178,3.785,3.902
19,219,7,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,19,4.228,4.138,4.138,4.026,3.838,4.177,3.783,3.905
20,220,1,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,20,4.318,3.898,4.039,3.787,3.977,4.18,3.838,4.121
21,221,1,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,21,4.318,3.887,3.993,3.801,3.977,4.183,3.84,4.138
22,222,0,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,22,3.979,3.859,4.164,4.182,3.789,4.176,3.839,4.14
23,223,3,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,23,4.214,4.071,4.164,3.773,3.734,3.945,3.995,4.146
24,224,0,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,24,3.977,3.853,4.164,4.186,3.809,4.172,3.843,4.138
25,225,1,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,25,4.318,3.888,3.992,3.801,3.977,4.182,3.837,4.14
26,226,4,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,26,4.097,4.032,3.501,4.23,3.417,3.871,3.995,4.042
27,227,1,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,27,4.318,3.889,3.986,3.802,3.977,4.18,3.84,4.138
28,228,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,28,4.004,4.261,4.039,3.779,3.977,4.172,3.834,4.136
29,229,1,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,29,4.318,3.875,4.035,3.773,3.977,4.176,3.826,4.131
30,230,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,30,4.002,4.261,4.051,3.768,3.977,4.177,3.846,4.136
31,231,7,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,31,4.271,4.032,4.065,3.978,3.887,4.165,3.8,3.919
32,232,5,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,32,4.219,4.06,4.061,4.078,3.977,3.99,3.617,4.294
33,233,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,33,4.008,4.261,4.057,3.772,3.977,4.177,3.831,4.134
34,234,6,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,34,4.187,4.098,4.151,3.938,3.637,4.329,3.661,4.294
35,235,4,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,35,4.109,4.038,3.54,4.23,3.475,3.898,3.995,4.058
36,236,1,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,36,4.318,3.888,3.993,3.802,3.977,4.181,3.843,4.135
37,237,5,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,37,4.218,4.07,4.062,4.075,3.977,3.992,3.616,4.294
38,238,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,38,4.004,4.261,4.044,3.773,3.977,4.174,3.839,4.138
39,239,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,39,4.003,4.261,4.05,3.77,3.977,4.173,3.843,4.139
40,240,0,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,40,3.973,3.855,4.164,4.182,3.798,4.169,3.844,4.153
41,241,4,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,41,4.099,4.015,3.48,4.23,3.403,3.853,3.995,4.06
42,242,0,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,42,3.977,3.859,4.164,4.196,3.804,4.17,3.838,4.135
43,243,0,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,43,3.98,3.861,4.164,4.174,3.791,4.174,3.835,4.141
44,244,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,44,4.007,4.261,4.05,3.765,3.977,4.163,3.844,4.152
45,245,4,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,45,4.117,4.058,3.589,4.23,3.5,3.925,3.995,4.089
46,246,7,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,46,4.229,4.112,4.134,4.031,3.845,4.188,3.782,3.898
47,247,1,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,47,4.318,3.885,3.982,3.802,3.977,4.182,3.84,4.144
48,248,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,48,4.006,4.261,4.043,3.779,3.977,4.174,3.836,4.128
49,249,4,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,49,4.153,4.087,3.695,4.23,3.589,4.002,3.995,4.121
50,250,0,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,50,3.972,3.86,4.164,4.184,3.797,4.169,3.835,4.155
51,251,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,51,4.001,4.261,4.047,3.77,3.977,4.174,3.841,4.143
52,252,7,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,52,4.228,4.114,4.138,4.029,3.84,4.182,3.783,3.902
53,253,4,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,53,4.14,4.063,3.641,4.23,3.546,3.961,3.995,4.099
54,254,3,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,54,4.214,4.086,4.164,3.779,3.731,3.959,3.995,4.147
55,255,3,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,55,4.217,4.08,4.164,3.781,3.721,3.968,3.995,4.127
56,256,0,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,56,3.973,3.855,4.164,4.196,3.803,4.174,3.84,4.146
57,257,0,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,57,3.976,3.85,4.164,4.183,3.807,4.178,3.847,4.138
58,258,3,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,58,4.22,4.082,4.164,3.787,3.728,3.966,3.995,4.145
59,259,1,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,59,4.318,3.887,3.995,3.8,3.977,4.181,3.835,4.145
60,260,6,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,60,4.187,4.097,4.15,3.934,3.638,4.329,3.662,4.294
61,261,5,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,61,4.212,4.104,4.067,4.066,3.977,3.983,3.626,4.294
62,262,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,62,4.022,4.261,4.083,3.773,3.977,4.171,3.825,4.111
63,263,5,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,63,4.215,4.05,4.08,4.075,3.977,3.988,3.619,4.294
64,264,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,64,4.181,4.2,4.085,3.943,3.891,4.165,3.788,3.941
65,265,3,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,65,4.207,4.066,4.164,3.767,3.747,3.934,3.995,4.169
66,266,0,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,66,3.977,3.858,4.164,4.14,3.836,4.156,3.835,4.14
67,267,4,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,67,4.1,4.05,3.539,4.23,3.441,3.889,3.995,4.07
68,268,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,68,4.128,4.261,4.01,3.716,3.977,4.213,3.74,4.189
69,269,0,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,69,3.975,3.854,4.164,4.183,3.8,4.177,3.845,4.139
70,270,7,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,70,4.231,4.089,4.134,4.028,3.838,4.178,3.785,3.907
71,271,1,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,71,4.318,3.885,3.991,3.802,3.977,4.182,3.84,4.14
72,272,1,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,72,4.318,3.887,3.99,3.801,3.977,4.181,3.838,4.142
73,273,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,73,4.007,4.261,4.044,3.777,3.977,4.177,3.839,4.125
74,274,1,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,74,4.318,3.886,3.994,3.801,3.977,4.182,3.842,4.138
75,275,5,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,75,4.217,4.054,4.075,4.075,3.977,3.987,3.62,4.294
76,276,3,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,76,4.218,4.08,4.164,3.79,3.721,3.971,3.995,4.129
77,277,3,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,77,4.153,3.994,4.164,3.835,3.704,4.041,3.995,4.191
78,278,7,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,78,4.226,4.128,4.138,4.043,3.841,4.18,3.784,3.897
79,279,6,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,79,4.169,4.102,4.145,3.944,3.638,4.329,3.658,4.294
80,280,5,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,80,4.227,4.137,4.162,4.04,3.977,3.957,3.633,4.294
81,281,6,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,81,4.21,4.041,4.136,3.957,3.65,4.329,3.642,4.294
82,282,1,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,82,4.318,3.898,4.01,3.792,3.977,4.182,3.836,4.127
83,283,3,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,83,4.218,4.074,4.164,3.797,3.719,3.974,3.995,4.136
84,284,1,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,84,4.318,3.886,3.991,3.802,3.977,4.181,3.843,4.137
85,285,0,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,85,3.975,3.853,4.164,4.17,3.801,4.178,3.845,4.142
86,286,5,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,86,4.22,4.072,4.069,4.07,3.977,3.989,3.618,4.294
87,287,1,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,87,4.318,3.887,3.994,3.801,3.977,4.184,3.84,4.136
88,288,3,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,88,4.23,4.081,4.164,3.803,3.721,3.988,3.995,4.125
89,289,1,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,89,4.318,3.885,3.981,3.804,3.977,4.18,3.838,4.144
90,290,5,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,90,4.217,4.055,4.059,4.078,3.977,3.991,3.618,4.294
91,291,5,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,91,4.217,4.049,4.096,4.073,3.977,3.984,3.62,4.294
92,292,6,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,92,4.198,4.113,4.145,3.935,3.633,4.329,3.664,4.294
93,294,5,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,93,4.219,4.056,4.058,4.076,3.977,3.991,3.618,4.294
94,296,7,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,94,4.235,4.11,4.071,4.011,3.859,4.159,3.78,3.928
95,297,4,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,95,4.152,4.052,3.646,4.23,3.56,3.968,3.995,4.088
96,298,6,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,96,4.199,4.103,4.141,3.93,3.635,4.329,3.666,4.294
97,299,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,97,4.008,4.261,4.038,3.791,3.977,4.169,3.838,4.113
98,300,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,98,4.0,4.261,4.049,3.768,3.977,4.18,3.837,4.146
99,301,5,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,99,4.218,4.054,4.059,4.078,3.977,3.99,3.619,4.294
100,302,0,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,100,3.972,3.852,4.164,4.171,3.798,4.185,3.849,4.141
101,303,6,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,101,4.167,4.1,4.147,3.935,3.637,4.329,3.664,4.294
102,304,5,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,102,4.216,4.052,4.068,4.074,3.977,3.99,3.619,4.294
103,305,6,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,103,4.193,4.101,4.148,3.933,3.64,4.329,3.661,4.294
104,306,3,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,104,4.211,4.089,4.164,3.779,3.719,3.969,3.995,4.124
105,307,7,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,105,4.23,4.138,4.136,4.027,3.841,4.179,3.784,3.901
106,308,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,106,4.005,4.261,4.039,3.779,3.977,4.174,3.84,4.127
107,309,0,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,107,3.977,3.857,4.164,4.178,3.808,4.164,3.833,4.151
108,310,5,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,108,4.22,4.064,4.073,4.07,3.977,3.988,3.62,4.294
109,311,4,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,109,4.104,4.055,3.553,4.23,3.466,3.901,3.995,4.058
110,314,4,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,110,4.143,4.085,3.675,4.23,3.57,3.986,3.995,4.101
111,315,0,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,111,3.981,3.861,4.164,4.172,3.814,4.146,3.819,4.164
112,316,3,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,112,4.231,4.065,4.164,3.804,3.736,3.984,3.995,4.103
113,317,3,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,113,4.221,4.068,4.164,3.777,3.713,3.96,3.995,4.119
114,318,7,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,114,4.239,4.131,4.134,4.029,3.839,4.176,3.785,3.903
115,319,6,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,115,4.188,4.102,4.145,3.931,3.635,4.329,3.666,4.294
116,321,6,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,116,4.187,4.097,4.15,3.94,3.636,4.329,3.661,4.294
117,322,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,117,4.014,4.261,4.059,3.766,3.977,4.172,3.834,4.132
118,324,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,118,4.006,4.261,4.05,3.772,3.977,4.172,3.834,4.142
119,325,6,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,119,4.188,4.098,4.148,3.929,3.636,4.329,3.667,4.294
120,327,5,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,120,4.215,4.056,4.1,4.073,3.977,3.992,3.613,4.294
121,328,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,121,4.008,4.261,4.077,3.766,3.977,4.173,3.841,4.134
122,329,5,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,122,4.216,4.066,4.067,4.076,3.977,3.989,3.618,4.294
123,330,4,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,123,4.13,4.071,3.61,4.23,3.517,3.943,3.995,4.078
124,331,4,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,124,4.18,4.088,3.734,4.23,3.622,4.028,3.995,4.17
125,332,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,125,4.013,4.261,4.042,3.782,3.977,4.166,3.83,4.128
126,333,3,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,126,4.216,4.071,4.164,3.776,3.721,3.956,3.995,4.128
127,334,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,127,4.014,4.261,4.052,3.78,3.977,4.174,3.838,4.111
128,335,4,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,128,4.132,4.029,3.613,4.23,3.518,3.927,3.995,4.103
129,336,5,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,129,4.216,4.062,4.075,4.072,3.977,3.99,3.618,4.294
130,337,0,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,130,3.973,3.857,4.164,4.19,3.805,4.172,3.84,4.143
131,338,3,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,131,4.218,4.078,4.164,3.788,3.721,3.97,3.995,4.136
132,340,7,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,132,4.233,4.135,4.136,4.03,3.836,4.177,3.785,3.903
133,341,7,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,133,4.096,4.261,4.083,4.024,3.837,4.176,3.786,3.917
134,342,5,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,134,4.219,4.067,4.089,4.071,3.977,3.985,3.619,4.294
135,343,7,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,135,4.248,4.126,4.148,4.034,3.832,4.174,3.784,3.902
136,344,7,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,136,4.232,4.132,4.134,4.03,3.832,4.174,3.785,3.906
137,346,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,137,3.967,4.261,3.791,3.89,3.977,4.2,3.879,4.178
138,348,4,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,138,4.149,4.084,3.684,4.23,3.577,3.989,3.995,4.102
139,349,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,139,4.019,4.261,4.034,3.795,3.977,4.166,3.819,4.115
140,350,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,140,4.016,4.261,4.09,3.759,3.977,4.173,3.822,4.118
141,351,0,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,141,3.977,3.859,4.164,4.183,3.797,4.172,3.837,4.143
142,352,4,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,142,4.099,4.059,3.535,4.23,3.439,3.906,3.995,4.06
143,354,4,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,143,4.153,4.085,3.706,4.23,3.593,4.008,3.995,4.133
144,357,5,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,144,4.22,4.068,4.062,4.076,3.977,3.989,3.619,4.294
145,358,3,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,145,4.208,4.046,4.164,3.761,3.751,3.911,3.995,4.196
146,359,7,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,146,4.242,4.125,4.14,4.038,3.837,4.175,3.786,3.899
147,360,6,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,147,4.187,4.097,4.151,3.931,3.638,4.329,3.664,4.294
148,361,0,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,148,3.972,3.856,4.164,4.194,3.79,4.18,3.842,4.151
149,362,0,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,149,3.975,3.852,4.164,4.177,3.811,4.172,3.846,4.141
150,363,3,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,150,4.221,4.076,4.164,3.789,3.721,3.971,3.995,4.134
151,364,0,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,151,3.971,3.851,4.164,4.16,3.821,4.173,3.846,4.144
152,365,2,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,152,4.02,4.261,4.043,3.797,3.977,4.169,3.831,4.097
153,366,6,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,153,3.987,3.886,4.164,4.1,3.75,4.175,3.83,4.144
154,367,6,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,154,4.192,4.11,4.142,3.935,3.636,4.329,3.663,4.294
155,369,3,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,155,4.205,4.044,4.164,3.946,3.977,3.925,3.701,4.294
156,370,3,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,156,4.235,4.029,4.164,3.766,3.826,3.885,3.984,4.249
157,371,3,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,157,4.225,4.077,4.164,3.796,3.718,3.979,3.995,4.123
158,373,3,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,158,4.214,4.089,4.164,3.787,3.724,3.973,3.995,4.137
159,376,6,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,159,4.189,4.103,4.14,3.946,3.649,4.329,3.646,4.294
160,377,0,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,160,3.972,3.858,4.164,4.168,3.798,4.168,3.844,4.153
161,378,5,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,161,4.218,4.069,4.052,4.077,3.977,3.992,3.617,4.294
162,379,6,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,162,4.202,4.093,4.145,3.93,3.641,4.329,3.657,4.294
163,380,6,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,163,4.188,4.112,4.146,3.945,3.641,4.329,3.652,4.294
164,381,6,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,164,4.193,4.1,4.144,3.927,3.638,4.329,3.666,4.294
165,382,3,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,165,4.256,4.068,4.164,3.851,3.723,4.014,3.994,4.072
166,384,7,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,166,4.225,4.109,4.142,4.016,3.821,4.166,3.797,3.913
167,385,5,results\MNISTInputPassThroughTest\run_20260721_111702\closed_loop_input_final_voltage.csv,167,4.217,4.062,4.068,4.076,3.977,3.988,3.619,4.294
